thread_num;problem_size;time
8;840;0.842861
7;840;0.921499
6;840;1.490379
5;840;1.872482
4;840;2.241119
3;840;2.605677
2;840;2.915118
1;840;5.265494
8;840;0.812876
7;840;0.931453
6;840;1.369127
5;840;2.046888
4;840;2.284991
3;840;2.824823
2;840;3.220613
1;840;5.520706
8;840;0.902501
7;840;0.936385
6;840;1.658166
5;840;1.613411
4;840;2.482067
3;840;2.697423
2;840;2.910443
1;840;5.756098
8;840;0.884470
7;840;0.984654
6;840;1.496760
5;840;1.697233
4;840;2.471312
3;840;2.843413
2;840;3.102432
1;840;5.712802
8;840;0.908457
7;840;0.970873
6;840;1.667622
5;840;1.878182
4;840;2.069048
3;840;2.715005
2;840;3.048306
1;840;5.492093
