thread_num;problem_size;time
8;840;3.813472
8;1680;16.017940
7;840;4.213969
7;1680;16.620939
6;840;5.129615
6;1680;20.538072
5;840;5.644669
5;1680;22.287534
4;840;6.230624
4;1680;24.391362
3;840;7.238276
3;1680;30.078073
2;840;15.095941
2;1680;61.243930
1;840;28.741989
1;1680;112.734870
8;840;3.958772
8;1680;15.249702
7;840;3.959448
7;1680;16.045242
6;840;5.448518
6;1680;20.474847
5;840;5.544976
5;1680;22.608336
4;840;6.064203
4;1680;24.081017
3;840;7.281849
3;1680;28.486677
2;840;15.194721
2;1680;60.350215
1;840;28.408179
1;1680;112.150519
8;840;3.858159
8;1680;16.099039
7;840;4.063026
7;1680;15.836079
6;840;5.603979
6;1680;20.887531
5;840;5.489273
5;1680;22.793764
4;840;6.010880
4;1680;24.876156
3;840;7.410376
3;1680;33.414102
2;840;15.277525
2;1680;60.519140
1;840;29.910589
1;1680;113.335835
8;840;3.927240
8;1680;15.667328
7;840;3.969337
7;1680;15.902762
6;840;5.295132
6;1680;20.502132
5;840;5.754601
5;1680;22.711523
4;840;6.246527
4;1680;24.240492
3;840;7.062254
3;1680;31.160068
2;840;15.089120
2;1680;62.383922
1;840;29.134483
1;1680;123.065458
8;840;3.776672
8;1680;15.467257
7;840;3.987286
7;1680;16.078910
6;840;5.227411
6;1680;21.006355
5;840;5.619734
5;1680;22.395701
4;840;6.694243
4;1680;24.489189
3;840;7.291122
3;1680;28.474689
2;840;16.156348
2;1680;60.787440
1;840;28.379087
1;1680;112.222382
